iter	RMSE
153	0.7917114521
154	0.7863501033
155	0.7814596221
156	0.7758088644
157	0.7698591924
158	0.7661270042
159	0.761950691
160	0.7566353855
161	0.7526415566
162	0.7484819857
163	0.7438444267
164	0.7387018992
165	0.7349137761
166	0.7303853162
167	0.7258989011
168	0.7214370224
169	0.7167967432
170	0.7122360735
171	0.7086196799
172	0.7034119035
173	0.6992482829
174	0.6952634235
175	0.6910987812
176	0.6868788723
177	0.6826243404
178	0.6780393911
179	0.6736502153
180	0.668854064
181	0.6648553243
182	0.6607652037
183	0.6563760026
184	0.6527968487
185	0.6482274403
186	0.6441800602
187	0.6406287382
188	0.6365909147
189	0.6325132861
190	0.6287531356
191	0.6246975684
192	0.6205124155
193	0.616142908
194	0.6119088168
195	0.6079298246
196	0.6041334114
197	0.5999881907
198	0.5960860968
199	0.5924920479
200	0.5888420541
201	0.5852000007
202	0.5820693268
203	0.5785781618
204	0.5750328737
205	0.5714129701
206	0.5680784097
207	0.564733387
208	0.5613443146
209	0.5581542726
210	0.5544004805
211	0.5504576828
212	0.5468968698
213	0.5436696901
214	0.5399574751
215	0.5367477217
216	0.5333177023
217	0.5301280361
218	0.526994055
219	0.5237050312
220	0.5203582018
221	0.5172688332
222	0.5140100544
223	0.510200381
224	0.5072104505
225	0.5037401642
226	0.5008996919
227	0.4979924459
228	0.4950905073
229	0.4922511509
230	0.4893978461
231	0.4866880742
232	0.4840591318
233	0.4807999146
234	0.477985393
235	0.4750866248
236	0.4717266081
237	0.4688481259
238	0.4658074666
239	0.4632956256
240	0.4604233389
241	0.4579373027
242	0.455370269
243	0.4528975079
244	0.4502902432
245	0.4478843177
246	0.4455562414
247	0.4431650857
248	0.4407953751
249	0.4385648464
250	0.4362506005
251	0.43385594
252	0.4304250384
253	0.427901074
254	0.4256394347
255	0.423406534
256	0.4211394778
257	0.4189583385
258	0.4166199966
259	0.414362437
260	0.4121321861
261	0.4100188885
262	0.4078611574
263	0.4055471136
264	0.4034761191
265	0.4009804262
266	0.3989473006
267	0.3970149625
268	0.3950777165
269	0.3930584582
270	0.3910947038
271	0.3881290889
272	0.3857297797
273	0.3836157465
274	0.3812424049
275	0.3793046978
276	0.3773407332
277	0.3754348751
278	0.372682654
279	0.3707705328
280	0.368149109
281	0.3656982477
282	0.3639280844
283	0.3619200278
284	0.3592774382
285	0.3573111095
286	0.3546709396
287	0.3528898437
288	0.3505554079
289	0.347969149
290	0.3454226738
291	0.3434778706
292	0.3415520042
293	0.3388500941
294	0.3372496652
295	0.3356644642
296	0.334094382
297	0.3324912354
298	0.3300553449
299	0.3285259957
300	0.3259343442
301	0.3243596738
302	0.3227983801
303	0.3213232314
304	0.3196250011
305	0.3179730226
306	0.3155231882
307	0.3133014525
308	0.3116104038
309	0.3102091982
310	0.3079941289
311	0.3066166838
312	0.305252707
313	0.3036754596
314	0.3023365548
315	0.3010108237
316	0.2996006462
317	0.2974869667
318	0.2959150101
319	0.2943590534
320	0.2930519552
321	0.2915239572
322	0.2902417322
323	0.2889721757
324	0.2869262072
325	0.2845761972
326	0.2833773053
327	0.2821539369
328	0.2809554829
329	0.2797917413
330	0.2784189282
331	0.2772771885
332	0.2761470465
333	0.2750284113
334	0.2738849531
335	0.2727959031
336	0.2716748089
337	0.2692949054
338	0.2682280953
339	0.2658938094
340	0.2648127532
341	0.2625075587
342	0.2614853298
343	0.2592015748
344	0.258156793
345	0.2560827001
346	0.253889507
347	0.2527362542
348	0.2506442618
349	0.2496455797
350	0.2485493552
351	0.2473883929
352	0.2454338282
353	0.2434340878
354	0.2425052799
355	0.2405471427
356	0.2386546785
357	0.2367580464
358	0.2358458987
359	0.2340409848
360	0.2330088552
361	0.2319891885
362	0.2301664124
363	0.2292952909
364	0.2275101965
365	0.226526773
366	0.2248274504
367	0.2238630711
368	0.2221978206
369	0.2205356475
370	0.219715609
371	0.2187844934
372	0.2178647463
373	0.2169562468
374	0.2160588748
375	0.2143520898
376	0.2127683469
377	0.2111788855
378	0.2103132043
379	0.2095634534
380	0.2085851844
381	0.2078509483
382	0.207112286
383	0.2063815332
384	0.2047800458
385	0.2039725967
386	0.2023192243
387	0.2016260683
388	0.2008407312
389	0.2000652026
390	0.198544264
391	0.1970423081
392	0.1955669794
393	0.1941234812
394	0.1934700256
395	0.19202031
396	0.1911929893
397	0.1905584507
398	0.1891455965
399	0.1884648916
400	0.1878386167
401	0.1863462044
402	0.1856576688
403	0.1850496841
404	0.184459362
405	0.1837934161
406	0.1824655812
407	0.1817875757
408	0.1811432575
409	0.1805071543
410	0.1799443532
411	0.1784305696
412	0.1771626024
413	0.1759492918
414	0.1745752632
415	0.1734127783
416	0.172315217
417	0.1711874082
418	0.17012098
419	0.1695270736
420	0.1690122561
421	0.1677576318
422	0.1666053104
423	0.1655374975
424	0.1645295247
425	0.1639707853
426	0.1629851132
427	0.162439683
428	0.16191964
429	0.1607431208
430	0.1597388988
431	0.1587392445
432	0.1577637837
433	0.1568324264
434	0.156264616
435	0.1557049457
436	0.1546145964
437	0.1541041643
438	0.1535643631
439	0.1530901353
440	0.1521868313
441	0.1510436105
442	0.1505854768
443	0.1500759072
444	0.1490875982
445	0.1480319455
446	0.1475385784
447	0.1470790507
448	0.1466256722
449	0.1456798222
450	0.144692472
451	0.1436241317
452	0.1431565561
453	0.14234832
454	0.1419188567
455	0.1414951659
456	0.1406008144
457	0.140120241
458	0.1396649212
459	0.1391201357
460	0.1382335345
461	0.1373577955
462	0.1369331069
463	0.1365543312
464	0.1357011541
465	0.1353537086
466	0.1343197889
467	0.1338980939
468	0.1335087407
469	0.1326572602
470	0.1322759255
471	0.131706419
472	0.1313608235
473	0.1310199662
474	0.1306556196
475	0.1297431523
476	0.1289355462
477	0.1281616929
478	0.1278362699
479	0.1270751903
480	0.1267883459
481	0.1264443722
482	0.125922413
483	0.1250636119
484	0.1247296937
485	0.124223287
486	0.123873139
487	0.1231457415
488	0.1226529423
489	0.1219448844
490	0.1216867737
491	0.1212079591
492	0.1209001841
493	0.1205989715
494	0.1197985241
495	0.1195244716
496	0.119231697
497	0.1184428057
498	0.1182055116
499	0.1179204169
500	0.1172153499
501	0.1165176969
502	0.1160796245
503	0.1158537324
504	0.1156306217
505	0.1152048029
506	0.1145698629
507	0.1140390604
508	0.1137739869
509	0.1133630114
510	0.1131538821
511	0.1129473475
512	0.1126017241
513	0.1122698048
514	0.1120702722
515	0.1118732271
516	0.1113984337
517	0.1112091147
518	0.1106388853
519	0.109925721
520	0.1096016492
521	0.1091490111
522	0.1085379399
523	0.1083067989
524	0.107711434
525	0.1074004154
526	0.1071008646
527	0.1067971712
528	0.1063717191
529	0.1062056215
530	0.1057895862
531	0.1056213686
532	0.105437088
533	0.1052725486
534	0.1049880021
535	0.1047548226
536	0.1046016798
537	0.1043732318
538	0.1039355821
539	0.1037873635
540	0.1035650877
541	0.1033629991
542	0.1032200241
543	0.1029517075
544	0.1025979899
545	0.1024048819
546	0.1021434737
547	0.1018871549
548	0.1014001785
549	0.1006872606
550	0.09993686099
551	0.09925489029
552	0.09911674813
553	0.09847123479
554	0.09801540299
555	0.09738888628
556	0.09690983696
557	0.09659203835
558	0.09599778419
559	0.09580656292
560	0.09527154499
561	0.09508322978
562	0.09489723027
563	0.09468607744
564	0.09456249443
565	0.09410500669
566	0.09387398773
567	0.0932948541
568	0.09316021887
569	0.09257433151
570	0.09212893188
571	0.09200371195
572	0.09179587043
573	0.09122464199
574	0.09082293258
575	0.09061095993
576	0.09007519095
577	0.08976322313
578	0.08956617616
579	0.08900612502
580	0.08852656493
581	0.08841460292
582	0.08790952839
583	0.08776342955
584	0.08723473006
585	0.08701151896
586	0.08690367102
587	0.08674982163
588	0.08631417181
589	0.08587154308
590	0.08575792114
591	0.08526262119
592	0.08492402018
593	0.08474815127
594	0.08424121113
595	0.08414061104
596	0.08396866607
597	0.08367151177
598	0.08357351532
599	0.08319298452
600	0.0830873635
601	0.08276661096
602	0.08235260852
603	0.08225081648
604	0.08201064215
605	0.08183688546
606	0.08156029951
607	0.08146228896
608	0.08098163272
609	0.08069139146
610	0.08029216313
611	0.07995863752
612	0.07980569785
613	0.07944054446
614	0.07932671778
615	0.07904640291
616	0.07893520996
617	0.07854320807
618	0.07827412727
619	0.07818493003
620	0.07780824306
621	0.07745475518
622	0.07737348666
623	0.07707953973
624	0.07697440034
625	0.0766298048
626	0.07652536791
627	0.0764237628
628	0.07617885146
629	0.07607900541
630	0.0759543849
631	0.07571541884
632	0.07548197345
633	0.07515839949
634	0.07478945468
635	0.07456619209
636	0.07448798994
637	0.07439341192
638	0.07406085122
639	0.07392307601
640	0.07381299266
641	0.07340704532
642	0.0732992481
643	0.07308847447
644	0.07274952268
645	0.07243318801
646	0.07234523228
647	0.07220937863
648	0.07212345751
649	0.07192277529
650	0.07168214629
651	0.07148689517
652	0.07140292018
653	0.07122438006
654	0.07114200593
655	0.07088730839
656	0.07077157973
657	0.07064200693
658	0.07054558375
659	0.07031364635
660	0.07012970084
661	0.07003198576
662	0.06989690715
663	0.06971883661
664	0.06941275798
665	0.06925095012
666	0.06909124153
667	0.06889902411
668	0.06880821712
669	0.06868092379
670	0.06846027045
671	0.06823214988
672	0.06786095675
673	0.06776874908
674	0.06760640577
675	0.06735907111
676	0.06710537708
677	0.06694994942
678	0.06672617024
679	0.06657498446
680	0.06645985552
681	0.06637613865
682	0.06624979741
683	0.06597201655
684	0.06563482373
685	0.06553423185
686	0.06524186339
687	0.06507271152
688	0.06483920308
689	0.06461823658
690	0.0642414359
691	0.06377621255
692	0.06369820751
693	0.06338206661
694	0.06330497032
695	0.06322892612
696	0.0631539201
697	0.06307049814
698	0.06289251648
699	0.0627633175
700	0.06258579236
701	0.06245206727
702	0.06238177702
703	0.0621976278
704	0.06194621895
705	0.06155611955
706	0.06142795091
707	0.06120277188
708	0.06083542386
709	0.06073680121
710	0.06056134033
711	0.0604362604
712	0.06034540094
713	0.06022829952
714	0.05984596721
715	0.05975185069
716	0.05938377555
717	0.05930341391
718	0.05895053137
719	0.05883213946
720	0.0587165067
721	0.05861214224
722	0.05841093161
723	0.05812197664
724	0.05798839443
725	0.05778624696
726	0.05772349253
727	0.05747031719
728	0.05735488519
729	0.05728353243
730	0.05718133845
731	0.05707432244
732	0.05699487484
733	0.05683896338
734	0.05674920776
735	0.05648443257
736	0.05636273349
737	0.05608308592
738	0.05575779176
739	0.05549700858
740	0.05533890291
741	0.0552636025
742	0.05494028145
743	0.05465389276
744	0.05455102316
745	0.05424220219
746	0.05415400125
747	0.05406967973
748	0.05388827377
749	0.05378860178
750	0.05369090953
751	0.05339729775
752	0.05326107098
753	0.05317652549
754	0.05295287166
755	0.05267757824
756	0.05258290817
757	0.05248994155
758	0.05241468131
759	0.05219572519
760	0.05201645583
761	0.05173155954
762	0.05166507143
763	0.05153991601
764	0.05145592113
765	0.05138966058
766	0.05114505222
767	0.05109503133
768	0.05082552778
769	0.05074835469
770	0.05064943394
771	0.0504729204
772	0.05040833081
773	0.0503394322
774	0.05015190067
775	0.05006773664
776	0.04998775793
777	0.04977307657
778	0.0496402275
779	0.04951286637
780	0.04944759931
781	0.04936716948
782	0.0492145321
783	0.0491702811
784	0.04909941556
785	0.04905584835
786	0.04900304132
787	0.04885132882
788	0.0487780307
789	0.04863155639
790	0.04843145007
791	0.04825480599
792	0.04817742201
793	0.04810271194
794	0.04787524306
795	0.04760304419
796	0.04752056753
797	0.04745969047
798	0.04724175255
799	0.04715845705
800	0.04693079508
801	0.04666333069
802	0.04654901908
803	0.04643800084
804	0.04617750645
805	0.04610715154
806	0.04604357322
807	0.04600860116
808	0.0458538553
809	0.04565602164
810	0.0455235422
811	0.045457598
812	0.04540756565
813	0.0453406907
814	0.04519411841
815	0.04496674448
816	0.04477719447
817	0.04465765276
818	0.04458643982
819	0.04455012894
820	0.04433570155
821	0.04413050672
822	0.04403248373
823	0.04392306428
824	0.04385974979
825	0.04374780521
826	0.04336351116
827	0.0430320241
828	0.04298919553
829	0.0429212208
830	0.04284103154
831	0.04270582495
832	0.04267353397
833	0.04234621779
834	0.04219939946
835	0.04199962725
836	0.04186677647
837	0.0416432077
838	0.04160004824
839	0.04147098197
840	0.04142645252
841	0.04138028063
842	0.04118475366
843	0.04100929131
844	0.04081548047
845	0.04077044823
846	0.0405898598
847	0.040498288
848	0.04039853733
849	0.0403160831
850	0.04013701427
851	0.0400905895
852	0.04005220798
853	0.03993174793
854	0.03988557853
855	0.03985058761
856	0.03974068035
857	0.03957308949
858	0.0395089425
859	0.03943210468
860	0.03939593625
861	0.0393436171
862	0.03930439468
863	0.03919798956
864	0.03916027727
865	0.039126978
866	0.03909044756
867	0.03887066869
868	0.03876750892
869	0.03873683938
870	0.0386393938
871	0.03854544195
872	0.03851086297
873	0.03848229483
874	0.03844948187
875	0.03841819365
876	0.03838487568
877	0.03831312308
878	0.03812914349
879	0.03809681355
880	0.03802863193
881	0.03799854565
882	0.03796623709
883	0.03793507791
884	0.03782467519
885	0.03775734749
886	0.03772475522
887	0.03769456233
888	0.037673775
889	0.03759087555
890	0.03743566744
891	0.03741520039
892	0.03721835604
893	0.03712377929
894	0.03694544541
895	0.03689884449
896	0.036837929
897	0.03680416453
898	0.03678545512
899	0.03671851453
900	0.03669081065
901	0.0365237728
902	0.036463481
903	0.03636476484
904	0.03627587295
905	0.03624991207
906	0.03603096525
907	0.03599356868
908	0.0359545904
909	0.03589844866
910	0.03586462716
911	0.03583492499
912	0.03575754841
913	0.03573532322
914	0.03563776186
915	0.03559561157
916	0.03557127589
917	0.03553631399
918	0.03551833189
919	0.03538012543
920	0.03534559918
921	0.03525174911
922	0.03519957626
923	0.03512350753
924	0.03502107643
925	0.03495658667
926	0.03493334804
927	0.03491189473
928	0.03479137287
929	0.03471098526
930	0.03462667475
931	0.0346007131
932	0.03454853312
933	0.03449785713
934	0.03443665849
935	0.03413112056
936	0.03406032211
937	0.03402504698
938	0.03400235601
939	0.03385779191
940	0.03369035209
941	0.03366898349
942	0.03338465183
943	0.0333625692
944	0.03332413265
945	0.03329121042
946	0.03325853282
947	0.03309368921
948	0.03307190336
949	0.03303321421
950	0.03293753614
951	0.03291788741
952	0.03285496062
953	0.03272870449
954	0.03263304808
955	0.03259084194
956	0.03255908866
957	0.03246846125
958	0.03243165969
959	0.03240332119
960	0.03223851766
961	0.03221416176
962	0.03216783107
963	0.03212218561
964	0.03210283955
965	0.03205951875
966	0.03175179883
967	0.03167537226
968	0.03154748161
969	0.03129478144
970	0.03126891823
971	0.0312375871
972	0.03111975974
973	0.03107510605
974	0.03100119249
975	0.03094986027
976	0.03084638733
977	0.03078829152
978	0.03074219644
979	0.03064705457
980	0.03062850824
981	0.03060218615
982	0.03053257258
983	0.03050148581
984	0.0304671186
985	0.03044147725
986	0.0304149785
987	0.03038177514
988	0.03035026054
989	0.03031180861
990	0.03026900269
991	0.03024976708
992	0.0300723274
993	0.02985091541
994	0.02980241127
995	0.02972607498
996	0.02946349382
997	0.02944222792
998	0.02941936728
999	0.02934069783
